distribution,n,pattern,mergeCostTimsort,mergeCostPowersort,timeTimsortNs,timePowersortNs,stackHeightTimsort,stackHeightPowersort
random,1000,random,9526,9017,654300,8103400,9,527
random,1000,random,9251,8943,497000,11394700,9,503
random,1000,random,9560,8938,515700,7517600,10,500
random,5000,random,59867,56340,4180400,29833100,12,2515
random,5000,random,58621,56301,2578300,24958400,11,2496
random,5000,random,60554,56162,2402100,22038800,11,2447
random,20000,random,276156,264990,6106100,96173900,13,9906
random,20000,random,274860,265306,2545000,93867500,14,10003
random,20000,random,299341,265236,3534900,90388300,14,10000
sorted,1000,sorted,0,0,4800,1200,1,1
sorted,5000,sorted,0,0,4500,3700,1,1
sorted,20000,sorted,0,0,16900,14000,1,1
example,28,[5;3;3;14;1;2],73,67,23700,50500,3,6
adversarial_many_small,1024,many_small_runs_len2,9216,9216,553700,4513600,10,512
adversarial_alt,4096,alt_1_15_scaled16,32768,32768,284400,2189800,9,256
